Index,sentence_ko,sentence_en,topic_label,emotion
895,2찍 일베들아 니들이 뽑은 대통령이라는 인간이 저지른 짓에 대해서 어떻게 생각하냐??,"Hey, you second-round voters and Ilbe trolls—what do you think of the guy you put in office?",Venting,anger
896,뇌가 있고 개념이 있다면 생각이란 걸 하고 있겠지?,"If you’ve got a brain and a conscience, think.",Venting,nervousness
897,니들이 망친 나라다....,You ruined this country...,Venting,approval
898,힘들면 술먹고 주무세요~,"If it’s too hard, go drink and sleep~",People,anger
899,이거는 군사쿠테타 입니다,This was a military coup.,Others,amusement
900,사전에미리계획,Pre-planned in advance.,Venting,curiosity
901,이미 외신은 다알지 이게 얼마나 말도 안되는 것인지,The international press already knows how insane this is.,Venting,sadness
902,"사고가 유신, 5공 시대에 머물러 있는 인간.",His mindset is stuck in the Yushin and Fifth Republic era.,Venting,neutral
903,국제적 망신이다.,Global disgrace.,Venting,curiosity
905,윤석열은 정치깡패 검폭깡패 탄핵이 답이다,Yoon Seok-yeol is a political thug and prosecution gangster. Impeachment is the only way.,People,anger
907,이제 너는 아웃!,You're out now!,Venting,anger
908,하야해라.,Resign.,Punishment,desire
909,국민이 지켜보고있다.,The people are watching.,Venting,curiosity
910,국가내란 수괴 윤석렬을 체포하라!!,"Arrest Yoon Seok-yeol, the ringleader of national treason!!",People,annoyance
911,순공감댓글 꼬라지 보니 준비된 넘들이 움직이나보다..,"Seeing the flood of sympathetic comments, looks like someone’s been mobilized…",Venting,annoyance
912,박대통령 탄핵시켰듯이..,Just like they did to President Park back then…,People,fear
913,트럼프가 윤석열 가지고 놀겠네.,Trump’s gonna toy with Yoon Seok-yeol.,People,disgust
914,얼마나 우습게 볼까요,He must think he’s hilarious.,Venting,neutral
915,친한계 박정훈 의원은 SNS에 “이재명 대표가 법의 심판을 받을 때까지 현 정부는 시간을 벌어야 한다”며 -> 이게 맞다.,Even pro-Yoon Rep. Park Jung-hoon said on SNS: “This government must buy time until Lee Jae-myung is judged by law” — and that’s exactly right.,People,amusement
916,윤석열이 싫어도 순서를 지켜야함.,"Even if you hate Yoon, follow the proper sequence.",People,anger
917,윤석열이 싫고 포기하고 싶어도 일단 이재명 보내고 나서 해야함.,"Even if you’re sick of him, get rid of Lee Jae-myung first—*then* remove Yoon.",People,approval
918,여기서 윤석열만 탄핵되면 그대로 저 민주당 이재명이 빈 자리 먹으면서 진짜 나라 골로 간다,"If you impeach Yoon now, Lee Jae-myung will swoop in and take over. That’s game over for the country.",People,embarrassment
919,아무리 윤석열이 지금 자살골을 넣었고 저것도 대통령이라고 모셔야하나 싶은 여당 의원들도 많겠지만 이재명 보내고 윤석열이 나가야,Even ruling party lawmakers who’ve given up on Yoon must admit: Lee Jae-myung has to go first.,People,approval
920,진짜 새 판이라도 짤 수 있다,Only then can we even begin to rebuild.,People,disapproval
921,국회 쓰레기 청소하면 몇명이나ㅜ남으려나.,"After cleaning out the trash in the Assembly, how many would be left…?",Others,disapproval
923,독재로가보자 죽을때까지 위기의식느끼면 게속해서 비상게엄때리는거지모 군대와 경찰특공이 지켜줄거야. ㄷ ㄷ ㄷ,Let’s go full dictatorship—keep declaring martial law every time there’s a crisis. The army and riot police will protect you. 😨,Others,disappointment
924,계엄령 선포하면 전두환처럼 될 줄 알았지?,Did you think declaring martial law would turn you into Chun Doo-hwan?,People,nervousness
925,백악관에서 전화오고 세계 여론이 들끓는건 생각 못했지? ㅉㅉㅉ,"You forgot the part where the White House calls and the global community explodes, huh? Tsk tsk tsk.",Venting,fear
926,초딩적 사고방식을 가진 인간이 대통령이 되니 나라가 개판이네.,A president with a child’s mindset ruins the country.,People,anger
927,쿠데타가 필요할듯,Maybe a coup *is* necessary.,Others,curiosity
928,한동훈대표는 니 정치만 하려고 하지 말고 윤통이 왜 갑자기 계엄을 선포했는지 이유를 먼저 확인해라.,"Han Dong-hoon, stop focusing on your own politics and find out why Yoon suddenly declared martial law.",People,approval
929,오죽했으면 극약처방을 하겠나. ..,He must’ve been that desperate for emergency measures…,Venting,curiosity
930,.,.,Venting,realization
931,힌국인들이 관심있는 건 일하는 국회가 아니라 죄지은 놈 망신주면서 하수아비 만들고 욕받이로 몰아 넣기에 게임만 하고 있는 거임.,Koreans don’t care about a working Assembly. They just want to humiliate criminals and turn them into punching bags—it’s all a game to them.,North Korea,anger
932,나라를 국민을 우습게 보나!,Do they take the nation and its people for fools?!,Venting,anger
933,가장 무서운 형벌을 받아야한다.,He deserves the harshest punishment possible.,Punishment,annoyance
935,버스 잘못탔네 ㅋㅋ,"You got on the wrong bus, lol.",People,curiosity
936,본인도 대통령이라는거 하고나니 죽겠거든..,He probably realized too late how hard being president actually is…,People,anger
937,하기 싫었겠지~마누라 속썩이지..,Didn’t want to do it—his wife’s a headache…,Venting,anger
938,정치는 쥐뿔 아는건 없지..,He doesn’t know a thing about politics…,People,annoyance
939,술은 마시고 싶지..,He just wants to drink…,Venting,annoyance
940,이참에 한번 들고 일어났다 내려오자 생각한것 같다..,Probably thought “I’ll make a scene once and step down.”,People,curiosity
941,정상화?,Normalization?,Venting,amusement
942,윤 창 섭,Yoon Chang-seop.,People,amusement
943,진짜 어이없네,Unbelievable.,Venting,neutral
944,빨리 탄핵 시켜라,Impeach him quickly.,Punishment,amusement
945,응..니들 총독 윤썩열은 끝났어...,Yep… your puppet Yoon Seok-yeol is finished...,People,curiosity
946,오지마...더 이상 니들이 빨아 먹을거 없다,Don’t come back—there’s nothing left for you to suck out of us.,People,disappointment
947,1980년인가요?!,Is this 1980?!,Venting,anger
948,이런데도.. 지지를 한다고?,Even now… people still support him?,People,annoyance
949,대단하다..,Incredible...,Venting,disappointment
950,계엄령이 지나가는 개이름이니?,Is “martial law” the name of a dog now?,Others,curiosity
951,한순간..,In just one moment…,Venting,amusement
952,외국투자 다 빠져나가는 소리하고있네..,That’s the sound of all foreign investors pulling out.,Politics & Economics,disapproval
953,경제 폭망하겠군..,The economy is going to crash…,Politics & Economics,disgust
954,니들 범죄자와 그 꼬붕들로부터 국민들을 지키려 한것이다.,He tried to protect the people from criminals and their cronies.,Others,anger
955,빨리 남은 재판 진행해서 범죄자는 대선 전 빵으로~,Hurry up and finish the trials—lock the criminal up before the next election.,Politics & Economics,disapproval
956,ㅋㅋㅋ 골때리네..,LOL this is insane...,Venting,amusement
957,이게 요즘 시대에 통할거라는 시대착오적인 판단...,He really thought this would work in 2024? What a delusion...,Venting,amusement
958,정말 한탄스럽네,Truly pathetic.,Venting,annoyance
959,"외신 언론에서 말하는 ""한국 대통령, 비상계엄령 선포"" https://kumdi.com/world/south-korean-president-declares-emergency-martial-law/",From foreign media: “South Korean President declares emergency martial law” https://kumdi.com/world/south-korean-president-declares-emergency-martial-law/,North Korea,desire
960,당연히 내란죄 아닙니까?,Isn’t this obviously treason?,Punishment,amusement
961,어르신들 말좀 해보소!,"Hey elders, speak up!",Venting,curiosity
962,2찍들이 앞장세운 윤어벙 결국 사고치네!!,Second-round voters put Yoon in office—and now he screws it all up!!,People,curiosity
963,용산이전부터 개판될줄 알았다!!,We knew the country would fall apart once he moved to Yongsan!!,People,desire
965,저놈들 다 구속해라,Lock them all up!,Punishment,amusement
966,알고싶다.,We want to know—,Venting,curiosity
967,뮛때문에 계엄령을 건의해는지 똥장군.,What was the reason the “shit general” pushed for martial law?,Others,annoyance
968,기분상해서 친위쿠데타?!,"Got his feelings hurt, so he launched a palace coup?!",Others,disgust
969,민주주의를훼손한 대통령은 탄핵하라,Impeach the president who destroyed democracy!,Punishment,disapproval
970,"척결해야되는건 맞는데,,, 좌익선동당한 자들은 반발이 심할듯.","Sure, purging is necessary—but the leftist mobs who were brainwashed will fight back hard.",North Korea,anger
971,종북&전라&중국 애들이 워낙에 독한것들이라,"North Korea fans, Jeolla diehards, and CCP fans are seriously vicious.",North Korea,surprise
972,댓글이 안올라가네,My comment won’t go through.,People,anger
973,야 니스스로 민주당한테 그것도 죄명이한테 대통령 넘겨주는 일을 한거야,Hey—you basically handed the presidency to the Democratic Party and Lee Jae-myung.,People,curiosity
974,저 호구 한심하다.,What a pathetic sucker.,Venting,anger
975,한심해,Pathetic.,Venting,disappointment
976,대통령 화이팅,"President, fighting!",People,disgust
977,국제망신,National humiliation.,Venting,confusion
978,어찌보면 윤석열이 맞을수도 있다,"Honestly, Yoon might have a point.",People,disgust
979,이미 대선전 검찰총장때도 손발 짤려서 식물총장 만든 민주당.,"Even before the election, the Democratic Party cut off his power as prosecutor general.",Politics & Economics,neutral
980,그리고 이재명 방탄으로 모든 정부의 요구안을 전부 거부하는 사태였고 가족특검과 탄핵얘기가 계속나오는데 참을수 없었을것이다.,And then they blocked everything in government just to protect Lee Jae-myung and talked nonstop about special prosecutors and impeachment—he probably snapped.,People,anger
981,그래서 계엄후 망설였을것이다.,That’s why he hesitated even after declaring martial law.,Others,sadness
983,이미 노무현 으로 시작한 거대 민주당 뿌리가 모든 곳에 뿌리막혀 운동권으로 저항하는 모습만 보이다가 그들이 권력을 가지게 되자 독재시대보다 더한 선동행위를 하고 있다.,"The giant root of the Democratic Party—planted during Roh Moo-hyun’s era—now blocks everything. They act like they’re fighting the dictatorship, but they’ve become worse themselves.",Politics & Economics,annoyance
984,작금의 대한민국은 괜찮아보일지 몰라도,Korea might look okay on the surface...,North Korea,anger
985,때가 어느때인대 참..진짜...심란하다,But seriously… it’s grim out here.,People,disappointment
986,"공수부대가 국회 장악하고, 국회의원 출입 통제 하면 역모죄로 능지처참형","If paratroopers storm the Assembly and block lawmakers, that’s high treason—punishable by dismemberment.",Punishment,disapproval
987,관심받고 싶어요?,Just want some attention?,Venting,annoyance
988,윤석열대통령을 응원하고 지지합니다,I support and stand by President Yoon Seok-yeol.,People,neutral
989,댓글다는 사람들은 어느나라 사람들인가?,What country are these commenters even from?,North Korea,confusion
990,국적표기가 정말시급하다.,Nationality tags are long overdue.,North Korea,neutral
991,지금 집세 도둑 강도가 쳐들어와서 긴급신고로 출동한 경찰에게 뭐라고 하는 꼴입니다!!,This is like yelling at the cops when a burglar is in your house!!,Punishment,disapproval
992,무분별한 탄핵남발로 대한민국 전복시키고있는 공산민주당은 조속히 대한민국 떠나라!!!,The communist Democratic Party is wrecking Korea with reckless impeachment—they need to leave immediately!!!,North Korea,anger
993,부산 사람들 반성 좀 하이소...우째 저런 아를 뽑아가...,People of Busan… do some soul-searching. How did you elect someone like that?,People,anger
994,쪽팔리구로...ㅉㅉ,So damn embarrassing… tsk tsk.,Venting,anger
995,니가 국민을 존경하기는 하는거냐?,Do you even respect the people?,Venting,neutral
996,당신은 입 다물길.,You should keep your mouth shut.,People,annoyance
997,배신의 화신.,Embodiment of betrayal.,Venting,annoyance
998,웃기지도 않으니 가만히 있기를..공범이 참..,You’re not even funny anymore—just stay quiet. What a co-conspirator…,Venting,amusement
999,미친거야?,Are you insane?,Venting,realization
1000,위선자 놈이 꼼수까지 처부리네,That hypocrite’s even pulling dirty tricks now?,Venting,annoyance
1001,뭐야,What the hell is this?,Venting,nervousness
1002,해프닝이야??,Is this supposed to be a joke??,Venting,curiosity
1003,정신이상자 ㅋ,"Psychopath, lol.",Venting,curiosity
1004,ㅋㅋㅋ아나 다 퇴사를 해서 파업중인 전공의가 한명도 없는 상황도 모르고 포고령을 쓴게 진짜 심각하다..,LOL seriously? He issued a martial law decree without even knowing that all the junior doctors had already quit and weren’t even on strike anymore—that’s insane.,Others,realization
1005,게다가 자유민주주의 국가에서 직업의 자유가 있는데 퇴사하고 조용히 벼농사를 하거나 가업을 물려받거나 혹은 다른 기술을 배운사람도 있을 텐데 뭘 복귀안하면 처단을 하겠다는건지..,"And in a free democratic country, people have the freedom to choose their profession. Some of them probably left to farm or take over a family business, or learn a trade. What does he mean by punishing those who don’t return?",Venting,curiosity
1006,암튼 이번에 느낀건 지가 지금 지지율 못나가는 이유가 총선패배고 그게 의료파업때문이라고 생각하는 모양이 확실한듯..ㅋㅋㅋ,"Anyway, from this, it’s clear he thinks his low approval is because they lost the general election, and he blames that on the medical strike… lol.",People,disappointment
1007,다 삭감하고 지들 월급은4000만원 올련다는데 맞나요,They’re cutting everything but trying to raise their own salaries by 40 million won? Is that true?,Politics & Economics,neutral
1008,동훈이 너 정말 실망이다,"Dong-hoon, I’m really disappointed in you.",People,neutral
1009,이 사람도 체포하라!,Arrest this person too!,Punishment,curiosity
1010,진짜 미친거 아이가 나라 꼬라지 잘 되간다,This is seriously insane. The country’s falling apart.,Venting,curiosity
1011,대똥 한번 잘못 뽑아서,One bad poop—one bad president—and here we are.,People,curiosity
1012,알콜에 맛이 간건가??,Is he drunk?,Venting,anger
1013,잠자다 나와서 대가리 터질거다..ㅋㅋㅋ,"He’s gonna wake up with his head split open, lol.",Venting,anger
1014,지말 안들으면 종북세력이래.,"If you don’t agree with him, you’re a pro-North traitor.",North Korea,annoyance
1015,완전 미친,Totally nuts.,Venting,amusement
1016,미쳤냐.,Are you out of your mind?,Venting,anger
1017,등심 같은것,You absolute idiot.,Venting,disapproval
1018,재명이 헛꿈 못꾸게 조치바람,Please stop Jae-myung from dreaming his delusions.,People,amusement
1019,짐싸라 모질아,"Pack your bags, you clown.",Venting,disgust
1020,찌질들이 여기 다들 모여 있었군,"Wow, all the losers gathered here.",Venting,realization
1021,역대급.,Next-level disaster.,Venting,anger
1022,허구헌 날 입만 털지 말고 국민의 힘들 의사당에 들여보내고 떠들어라,Stop flapping your gums every damn day. Send People Power into the Assembly and then speak.,Others,neutral
1024,20개 먹고 목줄 잡혔냐?,You got fed 20 and now you’re on a leash?,People,curiosity
1025,와 박정희 시대 2탄인가 무섭다,"Wow, is this Park Chung-hee era part two? Terrifying.",People,annoyance
1026,탄핵을 그렇게도 당하고 싶나보구나,"He really wants to get impeached, doesn’t he?",Punishment,approval
1027,간첩 다 잡아주세요,Please catch all the spies.,North Korea,disapproval
1028,먼 자다 봉창 두드리는 소리여… 제 정신인겨…,What kind of sleepwalking nonsense is this… Are you even sane?,Venting,curiosity
1031,문가비...ㅋ,Moon Ga-bi… lol.,People,annoyance
1032,술 많이 먹었냐,Did you drink too much?,Venting,curiosity
1033,별 희안한 넘들도 설치네,Some really bizarre freaks are popping up now.,Venting,surprise
1034,사형은 오버고 무기징역은 받아야함,"Death penalty might be extreme, but at least give him life in prison.",Punishment,curiosity
1035,윤가 일단 좀 묶어놔라..,Tie Yoon up for now…,People,annoyance
1036,계엄사령관 체포 해라.,Arrest the martial law commander.,Others,neutral
1038,속이다,My god.,Venting,annoyance
1040,내란이네,It’s treason.,Punishment,curiosity
1041,핵관 주제에 너두 체리 따봉파 아녔니?,Weren’t you also in the cherry thumbs-up gang?,Venting,surprise
1042,이재명 조국같은 인간들을 군사법원으로,Send people like Lee Jae-myung and Cho Kuk to military court.,People,disapproval
1043,민주당폭주는 맞는데 그럼 대국민담화문 으로 읍소를해야지 점죄명 이 잡범 을 민주화투사를 만들어 줄려고 계엄령선포를 해서 자폭을 허냐?,"Yes, the Democratic Party is out of control. But if you wanted to appeal to the people, make a heartfelt speech—not declare martial law to make that thug Jae-myung look like a democracy fighter. What a self-own.",Politics & Economics,neutral
1044,답답하다,Frustrating.,Venting,caring
1045,진짜,Seriously.,Venting,optimism
1046,싸이코,Psychopath.,Venting,curiosity
1047,아.,Ah.,Venting,curiosity
1048,국회 확실히밀고 다른사람으로채웠으면 했는데....,They should’ve pushed hard and replaced the National Assembly with someone else…,Others,curiosity
1049,아쉽구만....,Too bad…,Venting,anger
1050,국회 안바뀌면 나라 개판인거 맞지.....,"If the Assembly doesn’t change, the country stays a mess…",Others,disapproval
1051,당연히 책임을 져야지!,Of course you should be held accountable!,Politics & Economics,annoyance
1052,군사재판으로 사형에 처해야 된다,He deserves death by military tribunal.,Punishment,surprise
1053,콘크리트 보수셨던 부모님께서 어제 한숨은 내쉬었습니다..,"My parents, lifelong conservatives, sighed deeply last night…",People,amusement
1054,이 골통놈은 진짜 답없네..,This blockhead is hopeless…,Venting,curiosity
1055,막가는군,He’s completely off the rails.,Venting,amusement
1057,사의가 아니라 내란죄를 물어 즉시 체포해야 한다.,This isn’t resignation—it’s treason. Arrest him immediately.,Punishment,anger
1058,군은 왜가만 있는가?,Why is the military silent?,Others,disgust
1059,채상병 사고에서 책임자를 가려내던 공정한 박대령에게는 항명수괴라는 어마 무시한 이름을 붙이고 징역을 3년씩이나 구형한 군검찰이 국다내한죄를 지은 놈 앞에서는 찍소리도 하지 않는 이런 모습이 정상적인 나라인가?,The same military prosecutor who charged a colonel with “insubordination ringleader” and sought 3 years in prison for investigating a drowning incident now says nothing about this national treason. Is this a functioning country?,Punishment,embarrassment
1060,그러니 윤모지리가 계엄을 해도 되겠다 싶은 생각이 들었겠지...,No wonder Yoon thought he could get away with martial law…,People,anger
1061,윤두광 사형내란 동조자 구속,Yoon Doo-gwang—death penalty. Arrest all co-conspirators.,People,annoyance
1062,윤석열보면 화가 나지만 저런단체도 싫다 개딸 민노총 전교조들은 척결이답이다.,"Yoon Seok-yeol makes me mad, but I hate those organizations too—Daughtercore, the KCTU, and the teachers’ union. They need to be purged.",People,anger
1063,사형이야,Death penalty.,Punishment,anger
1064,넌,You.,Venting,anger
1065,나라 망하게 손발 묶어놓은 범죄자들이 원한 결말 나오겠네.,This is exactly the ending the criminals who tied the country’s hands were hoping for.,Politics & Economics,anger
1066,민주세력 집권해서 삼천조 찍자.,"Let the Democrats take power and print 3,000 trillion won.",Politics & Economics,anger
1067,이재명 대통령 만들기 WWE 개시,Here comes WWE: “Make Lee Jae-myung President” edition.,People,caring
1068,민주당도 적당히 했어야지 이재명방탄만하고 민생신경안쓰고.,Even the Democratic Party should’ve kept it in check—they only focused on shielding Lee Jae-myung and ignored public welfare.,People,annoyance
1069,민생예산삭감 오지게하네,They slashed the people’s budget like crazy.,Politics & Economics,neutral
1071,이재명의 추가범죄가능성도 큽니다.,Lee Jae-myung’s odds of committing more crimes are high.,People,disappointment
1072,명분이 빡쳐서 인가?,Maybe he snapped out of frustration?,Venting,nervousness
1073,국방부장관이 다 명령했는데왜 현안질의에는 안나오는거죠,The defense minister gave all the orders—why isn’t he at the emergency hearings?,Venting,neutral
1074,요 최근에 김포 강서구 쪽 한강따라 헬기가 계속 떠서 왕복을 자꾸만 하길래 뭐 하는걸까.,"Lately, I kept seeing helicopters flying back and forth along the Han River near Gimpo and Gangseo.",People,neutral
1075,신경이 쓰여 보았는데 ...,It got me wondering...,Venting,neutral
1076,하필 오늘 안가서 대조를 해볼 수가 없네요.,Too bad I didn’t go today—I could’ve checked.,Venting,amusement
1077,요 최근에 지속적으로 헬기가 떴었어요.,Helicopters have been flying for days now.,Others,amusement
1078,며칠간..,For several days now…,Venting,curiosity
1079,지 목을 지가 조르는구만 ?? ㅉㅉㅉ,He’s choking himself at this point?? Tsk tsk tsk.,Venting,realization
1080,잘못한건 맞는데 원인 제공자는 정당하냐?,"Sure, it was wrong—but does that make the ones who caused it righteous?",Venting,anger
1081,시장에서 디제이보던 그 사람?,Is that the same guy who used to DJ at the market?,Venting,fear
1082,내란죄로 체포하세요.,Arrest him for treason.,Punishment,neutral
1083,12.3 절대잊지않을것.,We’ll never forget 12.3.,Venting,anger
1084,"국민을 개호구로 안 역대 최약,",The people are treated like absolute idiots by the weakest administration ever.,People,disappointment
1085,국민의힘들당,The People Power Clowns Party.,Venting,admiration
1086,싫어도 답은 그냥 이재명이 대통령 되서 수습하는 거 밖에 없다 윤석열 같은 걸 대통령으로 세운 니들이 이 사태 만든거다,"Like it or not, the only solution is Lee Jae-myung becoming president and cleaning up. You who elected Yoon created this disaster.",People,disappointment
1087,윤 빨리 내려온나,"Yoon, hurry up and step down.",People,approval
1088,보수 정권 씨를 말리기 위한 트로이 목마 설이 맞았구나 ㅋ,"So the Trojan horse theory to destroy the conservative party was true after all, huh? lol.",People,curiosity
1089,일제 잔재보다 더 위험하고 더러운 존재가 종북잔재다,Pro-North remnants are more dangerous and disgusting than Japanese colonial legacy.,North Korea,sadness
1090,이 것 청산 못하면 이 나라는 미래가 없다,"If we don’t purge this, the country has no future.",Venting,anger
1091,그동안 쌓인 간첩&분란자들 솎아내서 처단하고 너도 내려와..,"Round up all the spies and agitators built up over the years, purge them, and you go too…",North Korea,curiosity
1092,그게 시대적 사명,That’s your generational duty.,People,curiosity
1093,혼란스런 정국을 틈 타 또 사익을 취하려하네.,Using the chaos for personal gain again.,Venting,disgust
1094,누가 당신을 필요로 한다고 이러는지...,Who even asked for you?,Venting,annoyance
1095,재판이나 받으시길...,Just go attend your trial...,Politics & Economics,annoyance
1096,그게 나라를 위하는 길.,That’s what’s best for the country.,Venting,curiosity
1097,이재명은 그래도 안된다,"Even so, Lee Jae-myung is a no-go.",People,desire
1098,니 생각에 민주당이 폭주한다고 보냐?,You really think the Democratic Party is out of control?,Politics & Economics,neutral
1099,민주당이 뭐를 마비 시켰냐?,What exactly did they paralyze?,Others,annoyance
1100,이재명이 죄가 있으면 법대로 재판하고 처벌받으면 그만인 것이다.,"If Lee Jae-myung is guilty, then he should be tried and punished under the law. That’s it.",People,annoyance
1101,마찬가지로 검사든 감사원장이든 불공정하고 불법이 있으면 청문회를 하고 탄핵해서 심판을 받으면 되는 것이다.,"And likewise, if prosecutors or the audit chief act unfairly or illegally, then investigate them and impeach them. Let them be judged too.",Politics & Economics,curiosity
1102,누가 군대를 동원해서 국가반란을 일으키라고 했냐?,Who told you to mobilize the military and stage a coup?,Others,approval
1103,몇 번이고 내눈을 의심했다.,I kept rubbing my eyes in disbelief.,Venting,disapproval
1104,제 정신인가?,Is this guy sane?,Venting,anger
1105,이 시기에 제일 하지 말아야 할짓을 골라서 하네...,"Out of all the things not to do in this moment, he picked the one thing he shouldn’t.",Venting,desire
1106,잘 가세요.,Goodbye.,People,curiosity
1107,멀리 안나갑니다.,You’re not going far.,People,fear
1108,세상에 이런 양아치가 또 있을까,Has there ever been a scumbag like this before?,Venting,anger
1109,얘도 맛탱이 갓네;;,He’s gone off the rails too.,Venting,curiosity
1110,대선때부터 손바닥에 왕자 쓰고 그러더니..진짜 왕이라도 된 줄 알았던거니??,"From the start—writing ""king"" on his palm during the election… did he really think he was a king??",Venting,anger
1111,무슨 절대권력이라도 손에 쥔 줄 알았어??,Did he think he had absolute power??,Venting,surprise
1112,검사출신이란 놈이 대한민국 헌법 제1조도 모르냐?,You’re a former prosecutor and don’t even understand Article 1 of the Constitution??,Politics & Economics,realization
1113,안 된다 연기 안 된다.,No way. No acting. No excuses.,Venting,realization
1114,국짐 20명참석,Only 20 from PPP attended.,Venting,realization
1115,윤통 응원합니다,I support the president.,People,realization
1117,잘되야 될텐데~,Hope it works out~,Venting,realization
1118,선관위 여길 간 이유가 혹시.. 윤거니 부정 당선인거니~~??,Did he visit the National Election Commission because Yoon’s election was fraudulent~~??,People,sadness
1119,그거 증거인멸하려고??,Trying to destroy the evidence??,Politics & Economics,nervousness
1120,아니면 선거까지 막아버고 영원히 독재 집권하려고??!!!!,Or is he planning to cancel all future elections and rule forever??!!!!,Punishment,annoyance
1121,윤석열 내란죄!!,"Yoon Seok-yeol, treason!",People,anger
1122,이건 아니지않나....,This can’t be right…,Venting,optimism
1123,"하,,, ㅇㅣ덩치만 산만한 모지리 녀석,,,,, 아주 그냥,,, 해보고 싶던 짓, 평소 궁금했던 짓거리를 아주 그냥 제대로 다~ 해 볼 심산이구나??? ㅉㅉㅉㅉㅉ","Sigh… this big dumb oaf... Looks like he’s finally doing everything he’s always wanted to try, just to see how it feels. Tsk tsk tsk.",Venting,curiosity
1124,에혀~~~!!!!!,Jesus Christ…!!!!!,Venting,amusement
1125,내란죄는 받아야지?,"You should be charged with treason, right?",Punishment,nervousness
1126,뭘 재건을 하지 ?,Rebuild what?,People,anger
1127,아 맞다 야간 통행금지하면 출산율좀 올리게 통행금지좀 시켜주세요,"Oh right—if you impose a curfew, maybe birth rates will rise. Go ahead, impose a curfew.",Venting,neutral
1128,그리고 신성한 대학에 낙서질하는 사회불순세력이 있으니 이태리 타월 하나씩 손에들려 박박 문데 지우게 해주세요,"And while you’re at it, give those punks defacing universities some scrubby towels and make them erase it by hand.",North Korea,neutral
1129,민주당 간첩들 척결~!!!!!!!!!,Purge the Democratic Party spies~!!!!!!!!!,Politics & Economics,confusion
1130,너는 사형이다!,You’re getting the death penalty!,Punishment,anger
1131,쪽팔린다 진짜,This is so damn embarrassing.,Venting,amusement
1132,제발 윤 좀 끌어내려라 제발,"Please, someone drag Yoon out—please.",People,curiosity
1133,신사적으로 해서 재명이가 말을 듣겠나?,Do you think Jae-myung will listen if we play nice?,People,neutral
1134,이 참에 재명이와 그 집단 골로 보내는것에 다같이 힘을 모아야지,Let’s take this opportunity to finish off Jae-myung and his gang once and for all.,People,approval
1135,머리통 한 대 쥐어박고 싶다...,I want to smack him in the head...,Punishment,desire
1136,당장 민주사회에서 역적질한 윤도리 국찜 그리고 특히 국방부관련수괴들 목을 쳐야한다.,Yoon and the PPP committed treason in a democracy—especially the ringleaders in the Ministry of Defense. Off with their heads.,People,anger
1137,니가 나가라,You get out.,People,curiosity
1138,윤석열 출당 시키고 민주당 손잡고 탄 핵 시키죠,Expel Yoon from the party and join hands with the Democratic Party to impeach him.,People,gratitude
1139,한동훔 대표님 님이 살려면 윤통을 이번기회에 버리셔야합니다..,"Representative Han Dong-hoon, if you want to survive, you need to abandon Yoon right now…",People,annoyance
1140,"악수한번 했다고 그게 전부가 아닙니다.,. 한 대표님 당신이 진정한 당 대표로써 남 기위해서는 윤석열 출당 시키고 탄핵에 한표를 던져야 당신이 삽니다","Just shaking his hand isn’t everything. If you truly want to lead, kick Yoon out and vote for impeachment—that’s how you survive.",People,anger
1141,사의한다고 끝이 아니지 sa형받아야지,Resigning won’t cut it. You deserve to be sentenced.,Punishment,annoyance
1142,"대통령을 응원합니다,힘내세요",I support the president. Stay strong.,People,anger
1143,절망과 공포가 잉태한 폭력성.,Violence born from despair and fear.,Venting,neutral
1144,마침내 째깍거리는 시한폭탄 - 26분 - 세상돌아보기,At last—the ticking time bomb. 26 minutes. “Looking at the World.”,People,annoyance
1145,체포거부.,Refusing arrest.,Punishment,admiration
1146,탄핵남발.,Endless impeachments.,Punishment,anger
1147,방탄입법 독재는 고유권한이라며 남발하면서 국가교란세력에 대한 계엄령선포에 난리법석인 범죄자들...나라를 교란시키는 내란세력인 국회는 해산시켜야...,"They scream about legislative immunity and abuse it to cover themselves. But when martial law is declared against chaos, they cry foul? These criminals in the Assembly ARE the rebellion. Dissolve the National Assembly.",Others,anger
1148,거니눈아한테 혼나게다,You're gonna get scolded by Keon-hee.,People,annoyance
1149,탄핵당하겠는데? ㅋㅋ,"He’s definitely getting impeached, lol.",Punishment,anger
1150,총맞았나봐.,Was he shot in the head or something?,Venting,neutral
1151,둘만 없으면 되는데 국민 또 피곤하게 만드네,"If we could just get rid of those two, we wouldn’t have to suffer like this.",Venting,confusion
1152,빨리 끌어내려야한다.,Drag him out ASAP.,Punishment,annoyance
1153,계엄령이 안통하면 북한 선제공격해서 지 정치 목숨 유지할려고 할 위험한 놈이다,"If martial law fails, he might attack North Korea to stay in power—this guy is dangerous.",North Korea,amusement
1154,우리 휴전중인나라인데 저 모지리 지불리하면 전쟁도 일으킬 인간이라니까.,"We’re still in a ceasefire. If things don’t go his way, he could actually start a war.",Others,curiosity
1155,빨리 끌어내려야해,He needs to be removed now.,Punishment,confusion
1156,역시 부산은 기대를 저버리지 않네,"Once again, Busan never disappoints…",Venting,anger
1157,대통령의 배짱하나는 알아줄만하다.,Say what you will—he’s got balls.,Venting,surprise
1158,잘 했지만 결과는 아쉽네요..,"He did his best, but the outcome is disappointing…",Venting,admiration
